Crop,Region,Month,Weather,Year,Price
TOMATO,BARISHAL,1,1,2024,97.45612886258148
CARROT,BARISHAL,6,3,2024,68.57476632408253
CARROT,CHATTOGRAM,2,1,2024,50.72747030461293
CARROT,CHATTOGRAM,1,3,2024,41.2010510629393
CARROT,CHATTOGRAM,1,2,2024,38.784848491421414
CARROT,CHATTOGRAM,1,1,2024,49.15750085874513
CARROT,BARISHAL,12,3,2024,49.05676886225535
CARROT,BARISHAL,12,2,2024,41.1361580559916
CARROT,BARISHAL,12,1,2024,84.78868575083189
CARROT,BARISHAL,11,3,2024,77.63727196101782
CARROT,BARISHAL,11,2,2024,68.09369959132995
CARROT,BARISHAL,11,1,2024,27.630474515972924
CARROT,BARISHAL,10,3,2024,40.54646983269231
CARROT,BARISHAL,10,2,2024,37.154468680813714
CARROT,BARISHAL,10,1,2024,63.126347563229686
CARROT,BARISHAL,9,3,2024,79.43011764675587
CARROT,BARISHAL,9,2,2024,28.16407042816924
CARROT,BARISHAL,9,1,2024,75.86952004563919
CARROT,BARISHAL,8,3,2024,53.00612187543648
CARROT,BARISHAL,8,2,2024,28.997245024369796
CARROT,BARISHAL,8,1,2024,71.3512863347807
CARROT,BARISHAL,7,3,2024,91.62690260997502
CARROT,BARISHAL,7,2,2024,57.209530429635045
CARROT,CHATTOGRAM,2,2,2024,45.10018476430113
CARROT,CHATTOGRAM,2,3,2024,27.317049569572085
CARROT,CHATTOGRAM,3,1,2024,37.875018503401165
CARROT,CHATTOGRAM,7,1,2024,94.62073837886925
CARROT,CHATTOGRAM,10,1,2024,79.51546024738353
CARROT,CHATTOGRAM,9,3,2024,38.583270948154876
CARROT,CHATTOGRAM,9,2,2024,88.0507470201127
CARROT,CHATTOGRAM,9,1,2024,48.17147462520874
CARROT,CHATTOGRAM,8,3,2024,16.116156385789647
CARROT,CHATTOGRAM,8,2,2024,91.32036118061109
CARROT,CHATTOGRAM,8,1,2024,46.079509749706325
CARROT,CHATTOGRAM,7,3,2024,51.63225114105884
CARROT,CHATTOGRAM,7,2,2024,11.016657558083086
CARROT,CHATTOGRAM,6,3,2024,80.65672968110201
CARROT,CHATTOGRAM,3,2,2024,24.828318988575532
CARROT,CHATTOGRAM,6,2,2024,37.93920362843615
CARROT,CHATTOGRAM,6,1,2024,65.99830472032409
CARROT,CHATTOGRAM,5,3,2024,66.55821932749907
CARROT,CHATTOGRAM,5,2,2024,24.068150710036146
CARROT,CHATTOGRAM,5,1,2024,37.614786326922705
CARROT,CHATTOGRAM,4,3,2024,28.647992786403595
CARROT,CHATTOGRAM,4,2,2024,66.02718445288227
CARROT,CHATTOGRAM,4,1,2024,43.56585484550441
CARROT,CHATTOGRAM,3,3,2024,56.172319180512474
CARROT,BARISHAL,7,1,2024,37.135088041723876
CARROT,BARISHAL,6,2,2024,38.33976525502475
CARROT,CHATTOGRAM,10,3,2024,38.78747747981643
CARROT,BARISHAL,6,1,2024,24.467305136806523
RADISH,SYLHET,9,3,2024,68.7257853394656
RADISH,SYLHET,9,2,2024,30.2376662850044
RADISH,SYLHET,9,1,2024,24.638873830212162
RADISH,SYLHET,8,3,2024,81.15152412836451
RADISH,SYLHET,8,2,2024,39.87965603257753
RADISH,SYLHET,8,1,2024,89.00766010181536
RADISH,SYLHET,7,3,2024,69.38708766675236
RADISH,SYLHET,7,2,2024,34.15466200002981
RADISH,SYLHET,7,1,2024,65.42725960960425
RADISH,SYLHET,6,3,2024,65.88534988823358
RADISH,SYLHET,6,2,2024,30.054027640433635
RADISH,SYLHET,6,1,2024,82.41801696423666
RADISH,SYLHET,5,3,2024,30.31223235979542
RADISH,SYLHET,5,2,2024,74.14510483139071
RADISH,SYLHET,5,1,2024,52.348360714012685
RADISH,SYLHET,4,3,2024,61.65018324810985
RADISH,SYLHET,4,2,2024,17.629534743314956
RADISH,SYLHET,4,1,2024,22.066151303368926
RADISH,SYLHET,3,3,2024,36.56098170819082
RADISH,SYLHET,3,2,2024,48.53157148202668
RADISH,SYLHET,3,1,2024,86.25238581875388
RADISH,SYLHET,10,1,2024,13.708871225716312
RADISH,SYLHET,10,2,2024,34.02392451265007
RADISH,SYLHET,10,3,2024,73.36885149462582
CARROT,BARISHAL,2,3,2024,88.85518930791267
CARROT,BARISHAL,5,3,2024,60.85243197592126
CARROT,BARISHAL,5,2,2024,47.87389935705109
CARROT,BARISHAL,5,1,2024,83.50913563605991
CARROT,BARISHAL,4,3,2024,48.52855133452019
CARROT,BARISHAL,4,2,2024,86.73989506877143
CARROT,BARISHAL,4,1,2024,30.30051090018837
CARROT,BARISHAL,3,3,2024,36.23509896938768
CARROT,BARISHAL,3,2,2024,46.701834117025626
CARROT,BARISHAL,3,1,2024,59.44238616772545
CARROT,BARISHAL,2,2,2024,93.33677573049209
RADISH,SYLHET,11,1,2024,23.38102429980495
CARROT,BARISHAL,2,1,2024,89.23563870342448
CARROT,BARISHAL,1,3,2024,14.90775139840361
CARROT,BARISHAL,1,2,2024,12.644365142543016
CARROT,BARISHAL,1,1,2024,53.908657599886844
RADISH,SYLHET,12,3,2024,19.56951126054243
RADISH,SYLHET,12,2,2024,33.136437115041986
RADISH,SYLHET,12,1,2024,28.202256726909372
RADISH,SYLHET,11,3,2024,48.79977302995988
RADISH,SYLHET,11,2,2024,91.98244246998438
CARROT,CHATTOGRAM,10,2,2024,70.87707155885153
CARROT,CHATTOGRAM,11,1,2024,55.481070123664885
PEANUTS,RAJSHAHI,5,1,2024,55.79538474814827
CARROT,KHULNA,3,2,2024,82.25659092160586
CARROT,KHULNA,10,3,2024,12.88038226320684
CARROT,KHULNA,10,2,2024,14.192421222966251
CARROT,KHULNA,10,1,2024,98.85601286626733
CARROT,KHULNA,9,3,2024,85.94513179928431
CARROT,KHULNA,9,2,2024,26.54811292173419
CARROT,KHULNA,9,1,2024,60.39523513562155
CARROT,KHULNA,8,3,2024,91.33889545103672
CARROT,KHULNA,8,2,2024,18.977233189087418
CARROT,KHULNA,8,1,2024,16.323279379543056
CARROT,KHULNA,7,3,2024,31.587401217579494
CARROT,KHULNA,7,2,2024,90.49555312827542
CARROT,KHULNA,7,1,2024,68.77283810682793
CARROT,KHULNA,6,3,2024,29.216980652575064
